"('date', '')","('open', 'BBAI')","('high', 'BBAI')","('low', 'BBAI')","('close', 'BBAI')","('volume', 'BBAI')"
2024-01-02 00:00:00+00:00,2.069999933242798,2.130000114440918,1.9700000286102295,2.0,4723600
2024-01-03 00:00:00+00:00,1.9500000476837158,1.9500000476837158,1.850000023841858,1.8799999952316284,2730500
2024-01-04 00:00:00+00:00,1.9199999570846558,2.009999990463257,1.8799999952316284,1.9900000095367432,2324200
2024-01-05 00:00:00+00:00,1.9900000095367432,2.0199999809265137,1.9049999713897705,1.940000057220459,1638000
2024-01-08 00:00:00+00:00,1.9900000095367432,2.2200000286102295,1.965000033378601,2.190000057220459,4803500
2024-01-09 00:00:00+00:00,2.2200000286102295,2.240000009536743,2.0399999618530273,2.0399999618530273,2937500
2024-01-10 00:00:00+00:00,2.069999933242798,2.190000057220459,2.0299999713897705,2.059999942779541,3497300
2024-01-11 00:00:00+00:00,2.049999952316284,2.049999952316284,1.850000023841858,1.9900000095367432,3703700
2024-01-12 00:00:00+00:00,2.0,2.0299999713897705,1.9550000429153442,2.0,1504300
2024-01-16 00:00:00+00:00,1.9700000286102295,1.9900000095367432,1.840000033378601,1.850000023841858,2324900
2024-01-17 00:00:00+00:00,1.8300000429153442,1.8550000190734863,1.7100000381469727,1.7799999713897705,2908500
2024-01-18 00:00:00+00:00,1.8200000524520874,1.8300000429153442,1.649999976158142,1.659999966621399,2594600
2024-01-19 00:00:00+00:00,1.690000057220459,1.7699999809265137,1.6200000047683716,1.7699999809265137,2584400
2024-01-22 00:00:00+00:00,1.809999942779541,1.9500000476837158,1.8049999475479126,1.9500000476837158,3379500
2024-01-23 00:00:00+00:00,1.9600000381469727,1.9800000190734863,1.8600000143051147,1.940000057220459,2382700
2024-01-24 00:00:00+00:00,1.9600000381469727,1.9800000190734863,1.840000033378601,1.850000023841858,1841800
2024-01-25 00:00:00+00:00,1.8799999952316284,1.8799999952316284,1.7599999904632568,1.809999942779541,1228800
2024-01-26 00:00:00+00:00,1.7899999618530273,1.8799999952316284,1.7899999618530273,1.809999942779541,1365700
2024-01-29 00:00:00+00:00,1.8200000524520874,1.850000023841858,1.7100000381469727,1.8300000429153442,1759500
2024-01-30 00:00:00+00:00,1.7899999618530273,1.7999999523162842,1.7000000476837158,1.7100000381469727,1554500
2024-01-31 00:00:00+00:00,1.7000000476837158,1.7309999465942383,1.6200000047683716,1.6200000047683716,1824400
2024-02-01 00:00:00+00:00,1.649999976158142,1.690000057220459,1.5800000429153442,1.649999976158142,1583100
2024-02-02 00:00:00+00:00,1.6299999952316284,1.649999976158142,1.5700000524520874,1.6299999952316284,1308100
2024-02-05 00:00:00+00:00,1.659999966621399,1.690000057220459,1.5700000524520874,1.5800000429153442,1555100
2024-02-06 00:00:00+00:00,1.600000023841858,1.7599999904632568,1.5800000429153442,1.7400000095367432,2286700
2024-02-07 00:00:00+00:00,1.7100000381469727,1.7200000286102295,1.649999976158142,1.659999966621399,1402800
2024-02-08 00:00:00+00:00,1.649999976158142,1.75,1.6200000047683716,1.7200000286102295,1925700
2024-02-09 00:00:00+00:00,1.7300000190734863,1.909999966621399,1.7300000190734863,1.850000023841858,3897700
2024-02-12 00:00:00+00:00,1.8600000143051147,2.0199999809265137,1.850000023841858,1.9600000381469727,4244900
2024-02-13 00:00:00+00:00,1.809999942779541,1.8799999952316284,1.7400000095367432,1.7999999523162842,2468000
2024-02-14 00:00:00+00:00,1.8700000047683716,1.9299999475479126,1.8300000429153442,1.909999966621399,2142000
2024-02-15 00:00:00+00:00,2.130000114440918,2.3299999237060547,1.940000057220459,2.25,13601300
2024-02-16 00:00:00+00:00,2.259999990463257,2.2699999809265137,2.0799999237060547,2.2100000381469727,7821200
2024-02-20 00:00:00+00:00,2.1700000762939453,2.259999990463257,2.0399999618530273,2.130000114440918,6310700
2024-02-21 00:00:00+00:00,2.069999933242798,2.075000047683716,1.899999976158142,1.9299999475479126,4461100
2024-02-22 00:00:00+00:00,2.0799999237060547,2.200000047683716,2.049999952316284,2.059999942779541,4397200
2024-02-23 00:00:00+00:00,2.069999933242798,2.069999933242798,1.9199999570846558,1.9500000476837158,3410200
2024-02-26 00:00:00+00:00,1.9500000476837158,2.494999885559082,1.9199999570846558,2.490000009536743,15269800
2024-02-27 00:00:00+00:00,2.7200000286102295,3.4700000286102295,2.640000104904175,3.440000057220459,48832300
2024-02-28 00:00:00+00:00,3.6700000762939453,3.75,3.049999952316284,3.140000104904175,28385900
2024-02-29 00:00:00+00:00,3.319999933242798,3.549999952316284,3.1500000953674316,3.359999895095825,18683400
2024-03-01 00:00:00+00:00,3.380000114440918,4.179999828338623,3.140000104904175,3.4600000381469727,46593300
2024-03-04 00:00:00+00:00,4.099999904632568,4.795000076293945,4.019999980926514,4.329999923706055,67504100
2024-03-05 00:00:00+00:00,4.570000171661377,4.630000114440918,3.5399999618530273,3.75,37653200
2024-03-06 00:00:00+00:00,4.059999942779541,4.269000053405762,3.75,3.819999933242798,24431600
2024-03-07 00:00:00+00:00,3.859999895095825,3.940000057220459,3.569999933242798,3.759999990463257,28669500
2024-03-08 00:00:00+00:00,2.809999942779541,2.950000047683716,2.5199999809265137,2.569999933242798,39702200
2024-03-11 00:00:00+00:00,2.569999933242798,2.619999885559082,2.4000000953674316,2.4200000762939453,16788700
2024-03-12 00:00:00+00:00,2.440000057220459,2.4600000381469727,2.2799999713897705,2.3299999237060547,19024900
2024-03-13 00:00:00+00:00,2.5999999046325684,2.680000066757202,2.4000000953674316,2.4600000381469727,41114400
2024-03-14 00:00:00+00:00,2.890000104904175,2.890000104904175,2.359999895095825,2.440000057220459,53874400
2024-03-15 00:00:00+00:00,2.390000104904175,2.559999942779541,2.359999895095825,2.440000057220459,22937000
2024-03-18 00:00:00+00:00,2.450000047683716,2.490000009536743,2.190000057220459,2.2100000381469727,19694700
2024-03-19 00:00:00+00:00,2.049999952316284,2.259999990463257,2.009999990463257,2.200000047683716,14311500
2024-03-20 00:00:00+00:00,2.1500000953674316,2.200000047683716,2.069999933242798,2.1500000953674316,11729700
2024-03-21 00:00:00+00:00,2.180000066757202,2.2200000286102295,2.0350000858306885,2.069999933242798,9744200
2024-03-22 00:00:00+00:00,2.049999952316284,2.059999942779541,1.9500000476837158,2.0,9214300
2024-03-25 00:00:00+00:00,2.0,2.180000066757202,1.9600000381469727,2.1700000762939453,12320600
2024-03-26 00:00:00+00:00,2.2200000286102295,2.2300000190734863,2.0799999237060547,2.0899999141693115,8677100
2024-03-27 00:00:00+00:00,2.0999999046325684,2.180000066757202,2.009999990463257,2.1500000953674316,14418600
2024-03-28 00:00:00+00:00,2.119999885559082,2.200000047683716,2.0350000858306885,2.049999952316284,6682000
2024-04-01 00:00:00+00:00,2.0399999618530273,2.049999952316284,1.9299999475479126,1.9600000381469727,7168800
2024-04-02 00:00:00+00:00,1.8899999856948853,1.899999976158142,1.8300000429153442,1.8600000143051147,7198300
2024-04-03 00:00:00+00:00,1.8300000429153442,1.9700000286102295,1.8200000524520874,1.9700000286102295,5433000
2024-04-04 00:00:00+00:00,2.009999990463257,2.069999933242798,1.9199999570846558,1.9299999475479126,6569900
2024-04-05 00:00:00+00:00,1.9500000476837158,2.009999990463257,1.909999966621399,1.9500000476837158,3726100
2024-04-08 00:00:00+00:00,1.9800000190734863,1.9900000095367432,1.8700000047683716,1.899999976158142,5616400
2024-04-09 00:00:00+00:00,1.9199999570846558,1.940000057220459,1.840000033378601,1.850000023841858,3766800
2024-04-10 00:00:00+00:00,1.7999999523162842,1.840000033378601,1.7599999904632568,1.7799999713897705,4722700
2024-04-11 00:00:00+00:00,1.7999999523162842,1.8049999475479126,1.75,1.7599999904632568,3734700
2024-04-12 00:00:00+00:00,1.7599999904632568,1.7699999809265137,1.6799999475479126,1.75,4989600
2024-04-15 00:00:00+00:00,1.7300000190734863,1.7400000095367432,1.5499999523162842,1.5800000429153442,6636900
2024-04-16 00:00:00+00:00,1.5499999523162842,1.6399999856948853,1.5499999523162842,1.600000023841858,3177000
2024-04-17 00:00:00+00:00,1.6200000047683716,1.6699999570846558,1.5499999523162842,1.559999942779541,4632700
2024-04-18 00:00:00+00:00,1.5800000429153442,1.600000023841858,1.5199999809265137,1.5299999713897705,2201600
2024-04-19 00:00:00+00:00,1.5199999809265137,1.5449999570846558,1.440000057220459,1.4500000476837158,4290900
2024-04-22 00:00:00+00:00,1.4900000095367432,1.600000023841858,1.4700000286102295,1.559999942779541,4464700
2024-04-23 00:00:00+00:00,1.6799999475479126,1.75,1.6299999952316284,1.7100000381469727,7038300
2024-04-24 00:00:00+00:00,1.7899999618530273,1.8200000524520874,1.649999976158142,1.690000057220459,6913900
2024-04-25 00:00:00+00:00,1.6399999856948853,1.7000000476837158,1.6100000143051147,1.659999966621399,2621900
2024-04-26 00:00:00+00:00,1.690000057220459,1.7999999523162842,1.6799999475479126,1.7999999523162842,3620300
2024-04-29 00:00:00+00:00,1.8300000429153442,1.8700000047683716,1.7000000476837158,1.75,5914700
2024-04-30 00:00:00+00:00,1.7000000476837158,1.7599999904632568,1.649999976158142,1.659999966621399,3896400
2024-05-01 00:00:00+00:00,1.649999976158142,1.8200000524520874,1.649999976158142,1.7200000286102295,5195600
2024-05-02 00:00:00+00:00,1.7599999904632568,1.7649999856948853,1.690000057220459,1.7300000190734863,7899400
2024-05-03 00:00:00+00:00,1.5199999809265137,1.6200000047683716,1.4600000381469727,1.4900000095367432,11236400
2024-05-06 00:00:00+00:00,1.5,1.559999942779541,1.4900000095367432,1.5099999904632568,4515400
2024-05-07 00:00:00+00:00,1.5299999713897705,1.5299999713897705,1.4500000476837158,1.4800000190734863,3081400
2024-05-08 00:00:00+00:00,1.4800000190734863,1.4900000095367432,1.4500000476837158,1.4900000095367432,2052300
2024-05-09 00:00:00+00:00,1.4600000381469727,1.4900000095367432,1.4500000476837158,1.4800000190734863,2334400
2024-05-10 00:00:00+00:00,1.4900000095367432,1.5099999904632568,1.3899999856948853,1.3899999856948853,4018300
2024-05-13 00:00:00+00:00,1.4299999475479126,1.5800000429153442,1.399999976158142,1.4700000286102295,5747100
2024-05-14 00:00:00+00:00,1.5199999809265137,1.6649999618530273,1.5099999904632568,1.6100000143051147,7937900
2024-05-15 00:00:00+00:00,1.690000057220459,1.7100000381469727,1.600000023841858,1.6799999475479126,7252600
2024-05-16 00:00:00+00:00,1.6799999475479126,1.7100000381469727,1.5299999713897705,1.559999942779541,4835300
2024-05-17 00:00:00+00:00,1.559999942779541,1.6399999856948853,1.4700000286102295,1.5099999904632568,6085600
2024-05-20 00:00:00+00:00,1.5199999809265137,1.6399999856948853,1.5199999809265137,1.600000023841858,5566600
2024-05-21 00:00:00+00:00,1.6100000143051147,1.6100000143051147,1.5099999904632568,1.5499999523162842,4061900
2024-05-22 00:00:00+00:00,1.5499999523162842,1.5499999523162842,1.4800000190734863,1.5,3305400
2024-05-23 00:00:00+00:00,1.5800000429153442,1.6299999952316284,1.4900000095367432,1.5199999809265137,6128400
2024-05-24 00:00:00+00:00,1.5399999618530273,1.5700000524520874,1.5299999713897705,1.5700000524520874,1948100
2024-05-28 00:00:00+00:00,1.590000033378601,1.600000023841858,1.5499999523162842,1.600000023841858,2234100
2024-05-29 00:00:00+00:00,1.5299999713897705,1.5700000524520874,1.5099999904632568,1.5299999713897705,3357500
2024-05-30 00:00:00+00:00,1.5399999618530273,1.6100000143051147,1.5199999809265137,1.5299999713897705,3641200
2024-05-31 00:00:00+00:00,1.5299999713897705,1.559999942779541,1.4700000286102295,1.5,3660100
2024-06-03 00:00:00+00:00,1.5,1.5199999809265137,1.4500000476837158,1.4800000190734863,2880900
2024-06-04 00:00:00+00:00,1.4800000190734863,1.5,1.4600000381469727,1.4800000190734863,2331800
2024-06-05 00:00:00+00:00,1.4800000190734863,1.4900000095367432,1.3949999809265137,1.409999966621399,4286800
2024-06-06 00:00:00+00:00,1.409999966621399,1.4199999570846558,1.3200000524520874,1.3600000143051147,4952700
2024-06-07 00:00:00+00:00,1.409999966621399,1.4800000190734863,1.3700000047683716,1.440000057220459,5564000
2024-06-10 00:00:00+00:00,1.399999976158142,1.4199999570846558,1.3600000143051147,1.3600000143051147,4058900
2024-06-11 00:00:00+00:00,1.3600000143051147,1.4199999570846558,1.340000033378601,1.399999976158142,2877000
2024-06-12 00:00:00+00:00,1.399999976158142,1.4700000286102295,1.3899999856948853,1.399999976158142,2851500
2024-06-13 00:00:00+00:00,1.4299999475479126,1.4299999475479126,1.3600000143051147,1.3700000047683716,1620200
2024-06-14 00:00:00+00:00,1.3700000047683716,1.3799999952316284,1.350000023841858,1.3600000143051147,1818800
2024-06-17 00:00:00+00:00,1.350000023841858,1.3600000143051147,1.2999999523162842,1.3200000524520874,3013000
2024-06-18 00:00:00+00:00,1.2999999523162842,1.3459999561309814,1.2899999618530273,1.2899999618530273,2647800
2024-06-20 00:00:00+00:00,1.2899999618530273,1.2999999523162842,1.1799999475479126,1.2000000476837158,5047900
2024-06-21 00:00:00+00:00,1.2300000190734863,1.2999999523162842,1.2200000286102295,1.2899999618530273,3181300
2024-06-24 00:00:00+00:00,1.2899999618530273,1.3300000429153442,1.2599999904632568,1.2699999809265137,2309300
2024-06-25 00:00:00+00:00,1.2699999809265137,1.3799999952316284,1.2350000143051147,1.350000023841858,3204700
